place,other,relation,source
ir-modares-town,ir-zamani,adjacent,osm
ir-modares-town,ir-w624728328,adjacent,osm
ir-modares-town,ir-pasdaran-square-shah-hoseyni-blv,adjacent,osm
ir-modares-town,ir-heydareh-road,adjacent,osm
ir-modares-town,ir-w625147273,adjacent,osm
ir-modares-town,ir-sheshsad-dastgah,adjacent,osm
ir-modares-town,ir-w624312824,adjacent,osm
ir-modares-town,ir-w624309914,adjacent,osm
ir-modares-town,ir-charmsazi-manouchehri,adjacent,osm
ir-w624182430,ir-w624183607,adjacent,osm
ir-w624184239,ir-w624702889,adjacent,osm
ir-w624184239,ir-khalilabad-2,adjacent,osm
ir-w624184239,ir-avall-eram,adjacent,osm
ir-w624184239,ir-w624706912,adjacent,osm
ir-w624185595,ir-w624186232,adjacent,osm
ir-w624185595,ir-amir-bagi,adjacent,osm
ir-w624185595,ir-w624341290,adjacent,osm
ir-w624185595,ir-w624672539,adjacent,osm
ir-w624185595,ir-kuye-shahid-gharabaghi,adjacent,osm
ir-w624186232,ir-sharbatzade,adjacent,osm
ir-w624186232,ir-w624611268,adjacent,osm
ir-moalem-2,ir-bisotun,adjacent,osm
ir-moalem-2,ir-oustadsara,adjacent,osm
ir-moalem-2,ir-ali-abad-3,adjacent,osm
ir-moalem-2,ir-hosein-abad-4,adjacent,osm
ir-moalem-2,ir-takhti-3,adjacent,osm
ir-ali-abad-town,ir-w625000658,adjacent,osm
ir-ali-abad-town,ir-sepah-square,adjacent,osm
ir-ali-abad-town,ir-car-center,adjacent,osm
ir-ali-abad-town,ir-imam-khomeyni-town,adjacent,osm
ir-ali-abad-town,ir-eslam-shahr-shahpasand,adjacent,osm
ir-ali-abad-town,ir-ashora-square,adjacent,osm
ir-ali-abad-town-2,ir-w625000658,adjacent,osm
ir-ali-abad-town-2,ir-sepah-square,adjacent,osm
ir-ali-abad-town-2,ir-car-center,adjacent,osm
ir-ali-abad-town-2,ir-imam-khomeyni-town,adjacent,osm
ir-ali-abad-town-2,ir-eslam-shahr-shahpasand,adjacent,osm
ir-ali-abad-town-2,ir-ashora-square,adjacent,osm
ir-samanmeydani,ir-davachi-shotorban,adjacent,osm
ir-samanmeydani,ir-w624411276,adjacent,osm
ir-w624207333,ir-davachi-shotorban,adjacent,osm
ir-w624207333,ir-w624411276,adjacent,osm
