code,name,name_en,kind,parent,in_path,latitude,longitude,source
ir-n2247099844,فقیکان,,village,ir-zizhieh-village,True,35.136551,46.528367,osm:n2247099844
ir-vaysian,یوژنان,Vaysian,village,ir-r6556807,True,35.162805,46.573444,osm:n2247099859
ir-dezvand-e-olya,دزوند علیا,Dezvand-e Olya,village,ir-zizhieh-village,True,35.103691,46.546486,osm:n2247099866
ir-sureh-tu,سوره تو,Sureh Tu,village,ir-zizhieh-village,True,35.119405,46.557782,osm:n2247099874
ir-bisaran,بیساران,Bisaran,village,ir-r6556807,True,35.19295,46.646667,osm:n2247100460
ir-dizewen-xwaru,دزوند سفلی,Dizewen xwarû,village,ir-zizhieh-village,True,35.099385,46.5572,osm:n2247100463
ir-deh-e-kanan,دهکانان,Deh-e Kanan,village,ir-zizhieh-village,True,35.099614,46.580891,osm:n2247100468
ir-harsin-2,هرسین,Harsin,village,ir-r6556807,True,35.203678,46.558064,osm:n2247100475
ir-govaz,گواز,Govaz,village,ir-paiglan-village,True,35.109226,46.655648,osm:n2247100484
ir-n2247100493,ژریژه,,village,ir-zizhieh-village,True,35.149897,46.521993,osm:n2247100493
ir-n2247100508,کولیژ,,village,ir-zizhieh-village,True,35.133299,46.506345,osm:n2247100508
ir-n2247101190,وسنه,,village,ir-r6557578,True,35.483721,46.291268,osm:n2247101190
ir-n2247101777,کله وینجه,,village,ir-r6557578,True,35.516565,46.325715,osm:n2247101777
ir-n2247101791,کانی کوزله,,village,ir-r6557578,True,35.522713,46.295335,osm:n2247101791
ir-n2247101804,نشکاش,,village,ir-r6557578,True,35.496775,46.345456,osm:n2247101804
ir-n2247101833,دری,,village,ir-r6557578,True,35.458369,46.341203,osm:n2247101833
ir-n2247101848,کولیت حسین آباد,,village,ir-r6557574,True,35.54353,46.338144,osm:n2247101848
ir-n2247101990,بلکر,,village,ir-r6557574,True,35.550956,46.379194,osm:n2247101990
ir-n2247102212,باخان,,village,ir-r6557574,True,35.531899,46.375464,osm:n2247102212
ir-niabad,نی آباد,Niabad,village,ir-roseab-village,True,35.245191,46.459508,osm:n2247102235
ir-vaysia,ویسیا,Vaysia,village,ir-r6556586,True,35.260545,46.239453,osm:n2247102359
ir-rudbar-3,رودبر,Rudbar,village,ir-r6556586,True,35.264908,46.238016,osm:n2247102368
ir-kamaleh,کماله,Kamaleh,village,ir-r6556586,True,35.2668,46.2312,osm:n2247102371
ir-n2247102430,جولانده,,village,ir-zizhieh-village,True,35.100249,46.523015,osm:n2247102430
ir-n2247142850,شیخ شربتی,,village,ir-golchider-village,True,35.538932,46.522922,osm:n2247142850
ir-n2247142851,بردیسپی,,village,ir-r10783116,True,35.486657,46.431409,osm:n2247142851
ir-n2247142852,سعدوسلیمانه,,village,ir-golchider-village,True,35.564139,46.479448,osm:n2247142852
ir-n2247142853,ونینه‌ ژورو,,village,ir-r10783116,True,35.488507,46.466191,osm:n2247142853
ir-n2247142854,ونینه‌ی خواروو,,village,ir-r10783116,True,35.473476,46.455207,osm:n2247142854
ir-n2247142855,پلیاندر,,village,ir-golchider-village,True,35.484525,46.486592,osm:n2247142855
ir-n2247142856,کوره‌ دره,,village,ir-r10783116,True,35.463397,46.431263,osm:n2247142856
ir-n2247142857,ورو,,village,ir-r10783116,True,35.456084,46.480219,osm:n2247142857
ir-n2247142858,هنگ ژاله,,village,ir-r10783116,True,35.448682,46.445217,osm:n2247142858
ir-n2247142859,حسن قره,,village,ir-golchider-village,True,35.527456,46.447733,osm:n2247142859
