place,name,kind,source
ir-neyriz,شهر نی‌ریز,spelling,osm
ir-district-9-2,منطقه ۹ شهر تهران,spelling,osm
ir-aran-va-bidgol,شهر آران و بیدگل,spelling,osm
ir-r12950613,شهر مشگین شهر,spelling,osm
ir-malayer,شهر ملایر,spelling,osm
ir-golbaf,شهر گلباف,spelling,osm
ir-r17341143,شهر دامغان,spelling,osm
ir-kazerun,شهر کازرون,spelling,osm
ir-district-19,منطقه ۱۹ شهر تهران,spelling,osm
ir-r16464282,شهر میانه,spelling,osm
ir-bafq,شهر بافق,spelling,osm
ir-sahand,شهر سهند,spelling,osm
ir-district-6-4,منطقه ۶ شهر تهران,spelling,osm
ir-bukan,شهر بوکان,spelling,osm
ir-kashmar,شهر کاشمر,spelling,osm
ir-borazjan,شهر برازجان,spelling,osm
ir-r17351822,شهر مرند,spelling,osm
ir-qarchak,شهر قرچک,spelling,osm
ir-torbat-e-heydarieh,شهر تربت حیدریه,spelling,osm
ir-lar,شهر لار,spelling,osm
ir-bojnord,شهر بجنورد,spelling,osm
ir-rey,شهر ری,spelling,osm
ir-mahallat,شهر محلات,spelling,osm
ir-district-14-2,منطقه ۱۴ شهر تهران,spelling,osm
ir-district-1-7,منطقه ۱ شهرداری فردیس,spelling,osm
ir-pakdasht,شهر پاکدشت,spelling,osm
ir-khomein,شهر خمین,spelling,osm
ir-marivan,شهر مریوان,spelling,osm
ir-zabol,شهر زابل,spelling,osm
ir-r16463989,شهر خوی,spelling,osm
ir-robat-karim,شهر رباط کریم,spelling,osm
ir-qods,شهر قدس,spelling,osm
ir-r8199877,شهر ایلام,spelling,osm
ir-r8768507,شهر گنبد کاووس,spelling,osm
ir-abu-musa,شهر بوموسی,spelling,osm
ir-district-15,منطقه ۱۵ شهر تهران,spelling,osm
ir-masjed-soleyman,شهر مسجدسلیمان,spelling,osm
ir-varamin,شهر ورامین,spelling,osm
ir-mahabad,شهر مهاباد,spelling,osm
ir-district-3-5,منطقه ۳ شهر تهران,spelling,osm
ir-r11285221,شهر مبارکه,spelling,osm
ir-bandar-ganaveh,شهر بندر گناوه,spelling,osm
ir-ekhtiarabad,شهر اختیارآباد,spelling,osm
ir-amol,شهر آمل,spelling,osm
ir-r8212055,شهر بابل,spelling,osm
ir-shahrud,شهر شاهرود,spelling,osm
ir-chabahar,شهر چابهار,spelling,osm
