id,name,name_en,code,kind,parent_id/id,in_path,latitude,longitude,source
place_w740644756,شجاع‌الدین داوودی,Shojaeddin Davoudi Street,ir-shojaeddin-davoudi-street-2,street,place_r8321802,True,35.71741,51.471074,osm:w740644756
place_w740742486,برادران قزوینی,Shahidan Ghazvini Street,ir-shahidan-ghazvini-street,street,place_r8321880,True,35.759744,51.540924,osm:w740742486
place_w740857541,عمید ۱۲,Jami St.,ir-jami-st-2,street,place_r11009425,True,36.316723,59.544986,osm:w740857541
place_w741170067,غلام عباس غیاثی ‌پور,,ir-w741170067,street,place_r8321805,True,35.726051,51.480916,osm:w741170067
place_w741834228,زیرگذر نصر,Koy Nasr Underpass,ir-koy-nasr-underpass,street,place_r8321709,True,35.725469,51.380342,osm:w741834228
place_w742116131,حسین باشی - عبادی ۱۸,,ir-w742116131,street,place_r8788806,True,36.304439,59.6091,osm:w742116131
place_w744163653,آسمان,,ir-w744163653,street,place_r11042052,True,29.61971,52.51076,osm:w744163653
place_w744167971,بعثت,Be'sat Boulevard,ir-be-sat-boulevard-9,street,place_r11042052,True,29.620816,52.505981,osm:w744167971
place_w744178115,سیاحتگر,Beheshti Boulevard,ir-beheshti-boulevard-11,street,place_r11038739,True,29.60806,52.513364,osm:w744178115
place_w746102964,میثم تمار - نبوت ۱۲,Mesam Tammar,ir-mesam-tammar-2,street,place_r8810557,True,36.30361,59.646952,osm:w746102964
place_w746531219,شهید حجازی,Shahid Hejazi Expressway,ir-shahid-hejazi-expressway-5,street,place_r17147384,True,35.714435,51.252912,osm:w746531219
place_w746531220,شهید حجازی,Shahid Hejazi Expressway,ir-shahid-hejazi-expressway-6,street,place_r8321769,True,35.714585,51.25191,osm:w746531220
place_w749422110,کنارگذر امام علی,,ir-w749422110,street,place_r8321586,True,35.701521,51.457754,osm:w749422110
place_w749695513,مشهد,,ir-w749695513,street,place_r9167430,True,35.664818,51.491731,osm:w749695513
place_w750218928,کوشا,,ir-w750218928,street,place_r8321733,True,35.647024,51.328012,osm:w750218928
place_w750302704,۴۵ متری بهار,,ir-w750302704,street,place_r8321732,True,35.641978,51.327363,osm:w750302704
place_w750645022,الزهرا,,ir-w750645022,street,place_r8321719,True,35.657208,51.30124,osm:w750645022
place_w752317901,قزوین,Qazvin Street,ir-qazvin-street-8,street,place_r8321601,True,35.675246,51.395037,osm:w752317901
place_w75275745,امام زمان,,ir-w75275745,street,place_r8321718,True,35.665213,51.322617,osm:w75275745
place_w75275754,عرب احمدی,,ir-w75275754,street,place_r8321724,True,35.645002,51.302903,osm:w75275754
place_w752925194,کندرو بلوار دکتر حسابی,Dr. Hesabi Boulevard,ir-dr-hesabi-boulevard-12,street,place_r11022901,True,29.721471,52.446161,osm:w752925194
place_w753687966,المهدی,,ir-w753687966,street,place_r10374716,True,36.30863,59.639806,osm:w753687966
place_w755188724,دوگاز,,ir-w755188724,street,place_r8321779,True,35.72514,51.158282,osm:w755188724
place_w755280515,لریجانی,,ir-w755280515,street,place_r21291323,True,35.739858,51.591961,osm:w755280515
place_w75561937,بولوار دانشگاه,,ir-w75561937,street,place_r9042642,True,36.3715,59.426863,osm:w75561937
place_w75561938,بولوار فرمانیه,Farmaniyeh,ir-farmaniyeh,street,place_r8833950,True,36.362868,59.444495,osm:w75561938
place_w75606179,بهورز,,ir-w75606179,street,place_r8833769,True,36.356614,59.493291,osm:w75606179
place_w756175120,صبحی,,ir-w756175120,street,place_r8321821,True,35.791125,51.360223,osm:w756175120
place_w758729184,پیروز جنوبی,,ir-w758729184,street,place_r8321627,True,35.619436,51.345223,osm:w758729184
place_w759399423,زیرگذر آرش,Arash Boulevard,ir-arash-boulevard-4,street,place_r8321842,True,35.770004,51.424794,osm:w759399423
place_w760595163,مبارک آباد,Mobarak Abad Sq,ir-mobarak-abad-sq,street,place_r8321850,True,35.768948,51.483069,osm:w760595163
place_w760811794,سه راه لویزان,,ir-w760811794,street,place_r8321850,True,35.775967,51.485883,osm:w760811794
place_w760935243,کربلایی احمد,Karbalai Ahmad Street,ir-karbalai-ahmad-street,street,place_r8321816,True,35.76217,51.334091,osm:w760935243
place_w76102719,یاس,Yas,ir-yas-3,street,place_r9167411,True,35.773618,51.308366,osm:w76102719
place_w76102740,سرو,Sarv,ir-sarv-2,street,place_r8321813,True,35.778427,51.315465,osm:w76102740
place_w761340801,گلناز ۳,,ir-w761340801,street,place_r8321769,True,35.746906,51.250698,osm:w761340801
place_w761345152,ساحل,Sahel Square,ir-sahel-square,street,place_r19233111,True,35.754776,51.219353,osm:w761345152
place_w762856109,ورودی برج میلاد,,ir-w762856109,street,place_r8321709,True,35.746679,51.373332,osm:w762856109
place_w763227386,پل سرلشکر خلبان شهید اسدالله بربری,Major general pilot Martyr Asadullah Barbari Overpass,ir-major-general-pilot-martyr-asadullah-barbari-overpass-3,street,place_r8321823,True,35.776183,51.362958,osm:w763227386
place_w763227387,پاک نژاد,Paknejad Street,ir-paknejad-street-4,street,place_r8321827,True,35.781251,51.361837,osm:w763227387
place_w763227388,پل سرلشکر خلبان شهید اسدالله بربری,Major general pilot Martyr Asadullah Barbari Overpass,ir-major-general-pilot-martyr-asadullah-barbari-overpass-4,street,place_r9167415,True,35.774029,51.363682,osm:w763227388
