id,place_id/id,name,kind,source
alias_r17341143_278,place_r17341143,شهر دامغان,spelling,osm
alias_r6740503_279,place_r6740503,شهر کازرون,spelling,osm
alias_r6729109_280,place_r6729109,منطقه ۱۹ شهر تهران,spelling,osm
alias_r16464282_281,place_r16464282,شهر میانه,spelling,osm
alias_r10385293_282,place_r10385293,شهر بافق,spelling,osm
alias_r10460005_283,place_r10460005,شهر سهند,spelling,osm
alias_r6729037_284,place_r6729037,منطقه ۶ شهر تهران,spelling,osm
alias_r8836223_285,place_r8836223,شهر بوکان,spelling,osm
alias_r8065530_286,place_r8065530,شهر کاشمر,spelling,osm
alias_r9283487_287,place_r9283487,شهر برازجان,spelling,osm
alias_r17351822_288,place_r17351822,شهر مرند,spelling,osm
alias_r14045064_289,place_r14045064,شهر قرچک,spelling,osm
alias_r6815739_290,place_r6815739,شهر تربت حیدریه,spelling,osm
alias_r11139559_291,place_r11139559,شهر لار,spelling,osm
alias_r8197616_292,place_r8197616,شهر بجنورد,spelling,osm
alias_r8775293_293,place_r8775293,شهر ری,spelling,osm
alias_r9959271_294,place_r9959271,شهر محلات,spelling,osm
alias_r6729033_295,place_r6729033,منطقه ۱۴ شهر تهران,spelling,osm
alias_r12967214_296,place_r12967214,منطقه ۱ شهرداری فردیس,spelling,osm
alias_r14040771_297,place_r14040771,شهر پاکدشت,spelling,osm
alias_r9958566_298,place_r9958566,شهر خمین,spelling,osm
alias_r10783118_299,place_r10783118,شهر مریوان,spelling,osm
alias_r16463790_300,place_r16463790,شهر زابل,spelling,osm
alias_r16463989_301,place_r16463989,شهر خوی,spelling,osm
alias_r9561737_302,place_r9561737,شهر رباط کریم,spelling,osm
alias_r8741480_303,place_r8741480,شهر قدس,spelling,osm
alias_r8199877_304,place_r8199877,شهر ایلام,spelling,osm
alias_r8768507_305,place_r8768507,شهر گنبد کاووس,spelling,osm
alias_r9080403_306,place_r9080403,شهر بوموسی,spelling,osm
alias_r6729032_307,place_r6729032,منطقه ۱۵ شهر تهران,spelling,osm
alias_r16464461_308,place_r16464461,شهر مسجدسلیمان,spelling,osm
alias_r14051776_309,place_r14051776,شهر ورامین,spelling,osm
alias_r6827344_310,place_r6827344,شهر مهاباد,spelling,osm
alias_r6728897_311,place_r6728897,منطقه ۳ شهر تهران,spelling,osm
alias_r11285221_312,place_r11285221,شهر مبارکه,spelling,osm
alias_r16704593_313,place_r16704593,شهر بندر گناوه,spelling,osm
alias_r8814508_314,place_r8814508,شهر اختیارآباد,spelling,osm
alias_r9167537_315,place_r9167537,شهر آمل,spelling,osm
alias_r8212055_316,place_r8212055,شهر بابل,spelling,osm
alias_r11506311_317,place_r11506311,شهر شاهرود,spelling,osm
alias_r9068031_318,place_r9068031,شهر چابهار,spelling,osm
alias_r17099126_319,place_r17099126,شهر میاندوآب,spelling,osm
alias_r17341189_320,place_r17341189,شهر بندر ماهشهر,spelling,osm
alias_r6662674_321,place_r6662674,شهر ساری,spelling,osm
alias_r15574182_322,place_r15574182,شهر مراغه,spelling,osm
alias_r6809206_323,place_r6809206,شهر گرگان,spelling,osm
alias_r6729503_324,place_r6729503,منطقه ۱۸ شهر تهران,spelling,osm
alias_r8199755_325,place_r8199755,شهر بیرجند,spelling,osm
alias_r9518162_326,place_r9518162,شهر نیشابور,spelling,osm
alias_r8974050_327,place_r8974050,شهر بندر انزلی,spelling,osm
alias_r9476668_328,place_r9476668,شهر سبزوار,spelling,osm
alias_r6639261_329,place_r6639261,شهر زرین شهر,spelling,osm
alias_r8886561_330,place_r8886561,شهر بابک,spelling,osm
alias_r8721603_331,place_r8721603,شهر ارگ جدید بم,spelling,osm
alias_r11092784_332,place_r11092784,شهر آباده,spelling,osm
alias_r6557917_333,place_r6557917,شهر فردیس,spelling,osm
alias_r8197425_334,place_r8197425,شهر سنندج,spelling,osm
alias_r8788099_335,place_r8788099,شهر جیرفت,spelling,osm
alias_r8199817_336,place_r8199817,شهر سمنان,spelling,osm
alias_r8814437_337,place_r8814437,شهر ماهان,spelling,osm
alias_r6728896_338,place_r6728896,منطقه ۲ شهر تهران,spelling,osm
alias_r17353299_339,place_r17353299,شهر خرمشهر,spelling,osm
alias_r8900220_340,place_r8900220,شهر کاشان,spelling,osm
alias_r6729505_341,place_r6729505,منطقه ۲۱ شهر تهران,spelling,osm
alias_r6729507_342,place_r6729507,منطقه ۵ شهر تهران,spelling,osm
alias_r14145156_343,place_r14145156,شهر شهرضا,spelling,osm
alias_r8721485_344,place_r8721485,شهر بروات,spelling,osm
alias_r6729506_345,place_r6729506,منطقه ۲۲ شهر تهران,spelling,osm
alias_r8253049_346,place_r8253049,شهر قائمشهر,spelling,osm
alias_r8808867_347,place_r8808867,شهر زرند,spelling,osm
alias_r11621032_348,place_r11621032,شهر صدرا,spelling,osm
alias_r6728863_349,place_r6728863,منطقه ۴ شهر تهران,spelling,osm
alias_r6578662_350,place_r6578662,شهر اراک,spelling,osm
alias_r9125908_351,place_r9125908,شهر دزفول,spelling,osm
alias_r6792037_352,place_r6792037,شهر قزوین,spelling,osm
alias_r8719539_353,place_r8719539,شهر بم,spelling,osm
alias_r8919905_354,place_r8919905,شهر بوشهر,spelling,osm
alias_r8186678_355,place_r8186678,شهر ارومیه,spelling,osm
alias_r8188090_356,place_r8188090,شهر همدان,spelling,osm
alias_r6566540_357,place_r6566540,شهر رشت,spelling,osm
alias_r7072823_358,place_r7072823,شهر بندرعباس,spelling,osm
alias_r7068962_359,place_r7068962,شهر زاهدان,spelling,osm
alias_r8808822_360,place_r8808822,شهر سیرجان,spelling,osm
alias_r8808854_361,place_r8808854,شهر رفسنجان,spelling,osm
alias_r6564175_362,place_r6564175,شهر تبریز,spelling,osm
alias_r8066775_363,place_r8066775,شهر قم,spelling,osm
alias_r6726007_364,place_r6726007,شهر کرمان,spelling,osm
alias_r8188592_365,place_r8188592,شهر یزد,spelling,osm
alias_r6566414_366,place_r6566414,شهر اهواز,spelling,osm
